"n","metric","mean","sd"
518,"cs_true",0.818631619764031,0.131655712311254
518,"auc_true",0.726942966043756,0.0102475860638529
518,"brier_true",0.116484583393784,0.00182523829999816
518,"mape_true",0.22492504239275,0.00892465536445774
518,"cs_boot",0.841745932851683,0.0298968125706051
518,"auc_boot",0.73358199023794,0.0374169735507391
518,"brier_boot",0.114813441804063,0.00948677847439781
518,"mape_boot",0.223048933839511,0.0184723431724395
518,"cs_split",0.73194060605101,0.205173420470046
518,"auc_split",0.721071538931182,0.0455866240084496
518,"brier_split",0.116934344513076,0.0142267182464485
518,"mape_split",0.222425488443154,0.0196800308947944
518,"cs_cv",0.758839734352049,0.0657795837319773
518,"auc_cv",0.721427769980473,0.0410005228842882
518,"brier_cv",0.115176249827849,0.00951797596006349
518,"mape_cv",0.22301411508166,0.0183603084387534
1036,"cs_true",0.913207515616725,0.0926682878989481
1036,"auc_true",0.736171788507385,0.00530670141702135
1036,"brier_true",0.114698899132183,0.00107490082593573
1036,"mape_true",0.225631418598586,0.00692073316693508
1036,"cs_boot",0.91286864508651,0.0131981205948077
1036,"auc_boot",0.735354458284904,0.0223828141614112
1036,"brier_boot",0.114225058762803,0.00707940567911227
1036,"mape_boot",0.22529180462705,0.0138911729932735
1036,"cs_split",0.83590192776298,0.174900708261684
1036,"auc_split",0.725138944173299,0.0310405218835556
1036,"brier_split",0.115535643949842,0.0100393055590084
1036,"mape_split",0.225136474922678,0.014848827839979
1036,"cs_cv",0.867608692606092,0.0268347586779675
1036,"auc_cv",0.729615655033627,0.0231514437948722
1036,"brier_cv",0.114487011617783,0.00701163213891789
1036,"mape_cv",0.225371398831346,0.013817338456294
1554,"cs_true",0.94184589271291,0.0882320284128658
1554,"auc_true",0.739812557683246,0.00345332729453683
1554,"brier_true",0.114052677815153,0.000787622634058817
1554,"mape_true",0.225832562738567,0.00576880345123611
1554,"cs_boot",0.940535432363852,0.00856977554671229
1554,"auc_boot",0.739614448277587,0.0196110535459322
1554,"brier_boot",0.114215124544755,0.00589152395727981
1554,"mape_boot",0.226198255906319,0.0117860040023285
1554,"cs_split",0.894728764679932,0.143610023119177
1554,"auc_split",0.734407471575067,0.0279909926160792
1554,"brier_split",0.115064474531815,0.00843550012025312
1554,"mape_split",0.226316994765035,0.0124071480854935
1554,"cs_cv",0.912319646835411,0.0170081555600665
1554,"auc_cv",0.736230545080324,0.0200883645268359
1554,"brier_cv",0.114320101823969,0.00590231567484376
1554,"mape_cv",0.22618704466798,0.0118096321643288
