"cs_true","auc_true","brier_true","mape_true","cs_boot","auc_boot","brier_boot","mape_boot","cs_split","auc_split","brier_split","mape_split","cs_cv","auc_cv","brier_cv","mape_cv","n"
0.678269974878983,0.727371204868773,0.117976156504552,0.220291840806126,0.848254782040407,0.751632033361563,0.108526393621754,0.21061877272461,0.531394635797071,0.713659605551499,0.118726575063561,0.218183444413287,0.766117155012715,0.740595325054785,0.109170211081724,0.211231933567573,518
0.916144357169068,0.723160990928868,0.115631726993211,0.231916879005665,0.849527627139995,0.701122263263623,0.122754240953717,0.239648670771602,0.715449689333014,0.673467230443975,0.13287245799879,0.247119323466981,0.737924047510246,0.684577789078172,0.122858444941564,0.238480347920739,518
0.888851681615363,0.725759294390241,0.115342910925501,0.222553228144431,0.833216177285962,0.726678498841485,0.117545631720326,0.228801214651664,0.720101315847701,0.723941189378977,0.12614863556255,0.221897936230982,0.768285599034313,0.720499455193332,0.11660140799539,0.227402671731377,518
0.678905209951703,0.715849543691703,0.11902074994335,0.229119311267076,0.86870635662558,0.756769253173244,0.113301831383678,0.221346524504194,0.604889161574843,0.72672064777328,0.117858625880175,0.221404549525795,0.8263412195917,0.752972027972029,0.114055462644509,0.222640295113923,518
0.741521160550798,0.731226928326447,0.115799388449062,0.216933733472792,0.835803530675911,0.741415239869496,0.105079262788504,0.203885073269887,0.601113952658642,0.705947136563877,0.105766915374391,0.197053590042429,0.706721727339575,0.721013071895424,0.107899643211045,0.205906974803666,518
0.604900563713735,0.733802497829321,0.119258870949552,0.222634898307512,0.883427169346104,0.794104363499352,0.103391429225181,0.203514485330369,0.734566817734262,0.781975099037919,0.09436247821108,0.200839772983838,0.862845929272442,0.793264840182649,0.101823376597857,0.201480837207339,518
0.990569120002906,0.723851809923748,0.115695528313268,0.231416260161789,0.791241574126393,0.677447276770509,0.124157171640391,0.24142191250289,0.808535113079103,0.668721461187214,0.126621892651321,0.245581160782049,0.651068913379493,0.653146853146854,0.126023753171372,0.242634096751006,518
0.942864059014231,0.728271000923734,0.116863090560989,0.212352891492954,0.798304827165336,0.690978647492704,0.0989978877991824,0.192607544505563,0.398931363477253,0.630102040816326,0.117912689867762,0.190433191336192,0.651543147361867,0.67150655021834,0.0994066112764269,0.192284982257686,518
0.793257606657165,0.721019509907557,0.115316876588365,0.227803455548342,0.852886285645432,0.733714479064215,0.116151521480892,0.225225638682721,0.897817748762436,0.759929778362958,0.118945141277221,0.224270887395093,0.774859689921819,0.716612185999942,0.1170642571925,0.226191499798918,518
0.828367154382157,0.736993442071298,0.115822365402391,0.241555755291197,0.882332616418408,0.752397976171901,0.135847401927522,0.264846514726501,0.656109139052851,0.725209380234504,0.162622447048003,0.257093570609098,0.784910812224338,0.736052631578947,0.137522742032645,0.265735770709605,518
0.968239422913378,0.714972779619193,0.11652252447332,0.227991924503943,0.797838315935113,0.676059357558515,0.117276678255811,0.228909461791272,0.452076259727474,0.633216783216783,0.126466176815979,0.232527887474487,0.688817956574462,0.660031653274898,0.117457431746152,0.228300091271891,518
0.911572135627958,0.732144296071872,0.11542368802055,0.223262780454059,0.828453672561851,0.728449766861382,0.116114723760607,0.223725306285047,1.0619222442299,0.782247251273801,0.102483045886463,0.211427604291144,0.770332366582856,0.721816411005599,0.115646032600481,0.222708181976145,518
0.768418786204313,0.723919498705792,0.117571988472442,0.225758886842416,0.854895676832311,0.749806002638417,0.115591814224709,0.226166925273892,0.600220351158834,0.73447559709242,0.126716963691953,0.224432757731857,0.715485527660098,0.72443992428737,0.119451059034194,0.229393866266262,518
0.813611372311783,0.731021402242471,0.116164052112296,0.228054918068678,0.867055450699888,0.74856165460339,0.115905704922644,0.22785155945177,0.641357890022818,0.734222433912836,0.112252342804701,0.230105716842588,0.831718414468653,0.749888118147236,0.116400824427785,0.228040286715007,518
0.85114867676847,0.725473342110976,0.115469167592011,0.223578469796335,0.813571254484164,0.709228038699751,0.116222705217372,0.225902125523119,0.490144668895696,0.707712418300653,0.118555311981997,0.237369283945228,0.720661727548304,0.698449962377729,0.117862118416524,0.227198039159697,518
0.721457686462523,0.730350470772457,0.116172912217991,0.211245918993367,0.845693751640593,0.743525186331342,0.102779830330828,0.203492583009327,0.484016380586258,0.710886895864476,0.111306723798309,0.208550686937892,0.717362715257938,0.722784132085577,0.104410866191332,0.204833296400138,518
0.733910414716956,0.703265972035785,0.118660667242335,0.229424348738735,0.859198899864355,0.733677772008733,0.1134235284923,0.22085222819854,0.661402655016513,0.723518369536069,0.107287598484195,0.207230751086894,0.761142461124446,0.7178028592927,0.115441598177583,0.223318843108234,518
0.944942189651731,0.7320875438224,0.114490928693671,0.234458639831817,0.811144555987243,0.69662843600708,0.124657801381955,0.242031517594149,0.383133333427255,0.649103139013454,0.127951055449922,0.234206839474436,0.705269670654192,0.682420091324203,0.124458925856793,0.241215048764195,518
0.753304796082508,0.733991213240212,0.115174142308515,0.225576793925522,0.848396970883169,0.7508860170427,0.119439419539434,0.23286640023176,0.705974732190428,0.741167434715822,0.126542207487981,0.245314400345282,0.800199937201403,0.746000223763707,0.117705621852308,0.230339872785529,518
0.668605763499875,0.725225699854247,0.117854739904071,0.221373261950162,0.878301064451568,0.761397554963421,0.11306576321462,0.219350688269729,0.993950583914107,0.763775510204082,0.100390858153221,0.215206491186804,0.825580684188582,0.755827505827506,0.112272143020782,0.21786146028858,518
0.823874348016876,0.738564590502207,0.113678767498424,0.213685760432176,0.851030818191787,0.756000536322046,0.117854572608981,0.226430229843861,0.281665328103021,0.6544415336985,0.139108528798469,0.229472207701225,0.806852742420407,0.751450363695262,0.117492116521006,0.224717429674001,518
1.04660465533127,0.737017653125635,0.114395381617319,0.222101736670934,0.803723970538569,0.685589908434294,0.114372812645791,0.221580698753659,0.553950290352067,0.664795918367348,0.118729858074288,0.22742163473455,0.695890715094358,0.667737971452879,0.114643959759761,0.220767986587163,518
0.986202215446248,0.743874439026168,0.113989635225941,0.239937551592295,0.849547366843668,0.729680245536775,0.134010031699341,0.260186101963829,0.750625007511547,0.720631013649586,0.125911030455618,0.257897834565881,0.749989823211542,0.715006305170239,0.134247727500525,0.259312747746439,518
0.868372036188868,0.73970462125265,0.11393587200992,0.216842544040745,0.837311249190818,0.730421455753277,0.105319377609841,0.205105180549763,0.770755800581141,0.742857142857142,0.105061373503336,0.20482124781182,0.7740579078368,0.721442174235822,0.104786174469429,0.203876860029056,518
0.825946938161615,0.730014858862555,0.11545759620106,0.219077283379015,0.832705516859045,0.739767255763507,0.11032966206871,0.214585768812819,0.54805032508855,0.700198075834749,0.107630838968661,0.208071156427934,0.786168769861485,0.731691549946129,0.110070526629456,0.213839126312126,518
0.855705292417498,0.73211764448988,0.118587774955432,0.25205604638641,0.855764127762794,0.729789011311234,0.14057009924102,0.272794788901677,0.618560506581946,0.692727272727272,0.14473952195316,0.270200888320437,0.783236163285252,0.721483253588517,0.141221479801305,0.273663062398953,518
0.759040257916826,0.727219530447256,0.116933599971856,0.224077957642141,0.839429563459211,0.740761855135702,0.118121429147899,0.229404206050755,0.741403957287557,0.72074289550235,0.120179035255005,0.22810389449527,0.773472465525374,0.73109195236585,0.118749001827238,0.22976742447489,518
0.819876477487795,0.740079791946337,0.115054723873164,0.222501646579316,0.85465900400434,0.751097281044567,0.106670058893074,0.206274239395386,0.931564869874776,0.774662668665667,0.093593857698753,0.209415032941706,0.811340381169697,0.739891581632651,0.106588892990281,0.204478140098676,518
1.01545412879499,0.735639413707643,0.114106487463417,0.230524301986929,0.81984311454959,0.68375661534072,0.120574581332963,0.236028214576794,0.518365771484971,0.664452214452215,0.125841458839024,0.231541138522883,0.683747279547413,0.663782051282052,0.121140042813188,0.236595060420355,518
0.824202048700651,0.71864729812181,0.117554055833621,0.232506931875332,0.837603365581953,0.730191958838205,0.115940755610497,0.226520883549521,0.867923984953444,0.732651570489409,0.107977635758151,0.219155840133316,0.773274579772267,0.724806089789799,0.114946014586984,0.225707409398355,518
0.79563722965285,0.716608739674382,0.11766982987938,0.225985340898,0.819584471209102,0.723762588155501,0.119711204379861,0.230955465303062,0.517685753876916,0.672700455886296,0.114486505383884,0.217384813027049,0.743342990393802,0.715170278637769,0.119814454642045,0.230165536916948,518
0.867663068021525,0.716890064661292,0.116583440104946,0.225198031340261,0.8026979507614,0.697985088074197,0.111519843838919,0.217927083979343,0.988003912856987,0.736796213253613,0.112962007182649,0.215953815625037,0.70784202501381,0.687336547247692,0.110873483487313,0.217026235880546,518
0.686698808132805,0.715146412109595,0.118865210973261,0.228509920314861,0.886301047134105,0.748053200950014,0.110474093077738,0.218018076574768,0.537231854422851,0.679336734693878,0.119284448022741,0.23608579219979,0.849251188564012,0.741899766899768,0.111312456853131,0.219226715877263,518
0.772260907776605,0.695557385468257,0.118953968842758,0.217291574397544,0.804070270625002,0.686024649221123,0.0984760247546782,0.193539492345954,0.533134328482814,0.646683673469388,0.114216502776777,0.19524786795929,0.696059920769655,0.67797826164939,0.0990021705122143,0.19403430959554,518
0.684101430983586,0.729827887394086,0.117208754656315,0.221847201153274,0.872496530834489,0.783344104552527,0.113092625612362,0.218317766603943,0.768416186636574,0.76852418860992,0.132044090361946,0.21646343953602,0.842375941650959,0.77854055428426,0.112113045205116,0.2169088318631,518
0.86922479930228,0.74005011459622,0.114892646767813,0.224630426353337,0.864691089705961,0.74787989232937,0.114981763478551,0.222930770301549,0.52893762106696,0.72029598308668,0.135392255080812,0.232119682323078,0.722131182159007,0.717278554778554,0.118613477012509,0.226456340731399,518
1.30623303476296,0.731986454925867,0.116931290189712,0.231645835778443,0.732479960556955,0.624265716512211,0.123002871684546,0.239524565654005,0.826551931431391,0.65945104697227,0.104631552715962,0.233541771146498,0.583028195348257,0.611316779533484,0.122805212425791,0.238270149581501,518
